2021/03/19 15:02:15 ##NOT FOUND rs63418562
2021/03/19 15:02:15 ##NOT FOUND rs115231027
2021/03/19 15:03:03 rs603424 combined, mismatch=186, overlaps=3764, ErrPct=4.94155
2021/03/19 15:03:03 rs36006409 combined, mismatch=28, overlaps=512, ErrPct=5.46875
2021/03/19 15:03:03 rs11197813 combined, mismatch=22, overlaps=512, ErrPct=4.29688
2021/03/19 15:03:03 rs72842207 combined, mismatch=34, overlaps=512, ErrPct=6.64062
2021/03/19 15:03:03 rs4411245 combined, mismatch=27, overlaps=512, ErrPct=5.27344
2021/03/19 15:03:03 rs7096563 combined, mismatch=15, overlaps=512, ErrPct=2.92969
2021/03/19 15:03:03 rs1133400 combined, mismatch=451, overlaps=3373, ErrPct=13.37089
2021/03/19 15:03:03 rs10906391 combined, mismatch=28, overlaps=512, ErrPct=5.46875
2021/03/19 15:03:03 rs11010905 combined, mismatch=11, overlaps=512, ErrPct=2.14844
2021/03/19 15:03:03 rs72795925 combined, mismatch=23, overlaps=512, ErrPct=4.49219
2021/03/19 15:03:03 rs10732433 combined, mismatch=8, overlaps=512, ErrPct=1.56250
2021/03/19 15:03:03 rs34130368 combined, mismatch=169, overlaps=512, ErrPct=33.00781
2021/03/19 15:03:03 rs56352451 combined, mismatch=12, overlaps=512, ErrPct=2.34375
2021/03/19 15:03:03 rs7090758 combined, mismatch=4, overlaps=512, ErrPct=0.78125
2021/03/19 15:03:03 rs12572586 combined, mismatch=11, overlaps=512, ErrPct=2.14844
2021/03/19 15:03:03 rs10887914 combined, mismatch=5, overlaps=512, ErrPct=0.97656
2021/03/19 15:03:03 rs77413490 combined, mismatch=9, overlaps=512, ErrPct=1.75781
2021/03/19 15:03:03 rs61892344 combined, mismatch=9, overlaps=512, ErrPct=1.75781
2021/03/19 15:03:03 rs12807220 combined, mismatch=45, overlaps=512, ErrPct=8.78906
2021/03/19 15:03:03 rs4754196 combined, mismatch=7, overlaps=512, ErrPct=1.36719
2021/03/19 15:03:03 rs17119370 combined, mismatch=20, overlaps=512, ErrPct=3.90625
2021/03/19 15:03:03 rs1076485 combined, mismatch=47, overlaps=3764, ErrPct=1.24867
2021/03/19 15:03:03 rs11222386 combined, mismatch=21, overlaps=512, ErrPct=4.10156
2021/03/19 15:03:03 rs11026586 combined, mismatch=5, overlaps=512, ErrPct=0.97656
2021/03/19 15:03:03 rs871004 combined, mismatch=7, overlaps=512, ErrPct=1.36719
2021/03/19 15:03:03 rs11031051 combined, mismatch=51, overlaps=512, ErrPct=9.96094
2021/03/19 15:03:04 rs190194639 combined, mismatch=20, overlaps=512, ErrPct=3.90625
2021/03/19 15:03:04 rs17224476 combined, mismatch=132, overlaps=6400, ErrPct=2.06250
2021/03/19 15:03:04 rs1585453 combined, mismatch=22, overlaps=512, ErrPct=4.29688
2021/03/19 15:03:04 rs2688716 combined, mismatch=36, overlaps=512, ErrPct=7.03125
2021/03/19 15:03:04 rs75905900 combined, mismatch=2, overlaps=512, ErrPct=0.39062
2021/03/19 15:03:04 rs11607056 combined, mismatch=5, overlaps=512, ErrPct=0.97656
2021/03/19 15:03:04 rs2929184 combined, mismatch=74, overlaps=512, ErrPct=14.45312
2021/03/19 15:03:04 rs4980515 combined, mismatch=6, overlaps=512, ErrPct=1.17188
2021/03/19 15:03:04 rs67976715 combined, mismatch=37, overlaps=512, ErrPct=7.22656
2021/03/19 15:03:04 rs875106 combined, mismatch=1, overlaps=512, ErrPct=0.19531
2021/03/19 15:03:04 rs4420291 combined, mismatch=35, overlaps=512, ErrPct=6.83594
2021/03/19 15:03:04 rs10743086 combined, mismatch=9, overlaps=512, ErrPct=1.75781
2021/03/19 15:03:04 rs10830963 combined, mismatch=382, overlaps=6400, ErrPct=5.96875
2021/03/19 15:03:04 rs11021221 combined, mismatch=18, overlaps=512, ErrPct=3.51562
2021/03/19 15:03:04 rs360153 combined, mismatch=30, overlaps=512, ErrPct=5.85938
2021/03/19 15:03:04 rs10778174 combined, mismatch=7, overlaps=512, ErrPct=1.36719
2021/03/19 15:03:04 rs11112548 combined, mismatch=34, overlaps=512, ErrPct=6.64062
2021/03/19 15:03:04 rs11571376 combined, mismatch=86, overlaps=512, ErrPct=16.79688
2021/03/19 15:03:04 rs11615689 combined, mismatch=11, overlaps=512, ErrPct=2.14844
2021/03/19 15:03:04 rs3898618 combined, mismatch=6, overlaps=512, ErrPct=1.17188
2021/03/19 15:03:04 rs1271309 combined, mismatch=63, overlaps=512, ErrPct=12.30469
2021/03/19 15:03:04 rs2024385 combined, mismatch=93, overlaps=512, ErrPct=18.16406
2021/03/19 15:03:04 rs7313556 combined, mismatch=3, overlaps=512, ErrPct=0.58594
2021/03/19 15:03:04 rs73080726 combined, mismatch=14, overlaps=512, ErrPct=2.73438
2021/03/19 15:03:04 rs704191 combined, mismatch=32, overlaps=512, ErrPct=6.25000
2021/03/19 15:03:04 rs7976167 combined, mismatch=21, overlaps=512, ErrPct=4.10156
2021/03/19 15:03:04 rs1098708 combined, mismatch=1, overlaps=512, ErrPct=0.19531
2021/03/19 15:03:04 rs10842991 combined, mismatch=5, overlaps=512, ErrPct=0.97656
2021/03/19 15:03:04 rs117233107 combined, mismatch=22, overlaps=512, ErrPct=4.29688
2021/03/19 15:03:04 rs78998485 combined, mismatch=21, overlaps=512, ErrPct=4.10156
